month,line,division,terminal otp,num_sched_trips,,,,month-number
2015-06,N,B DIVISION,0.644053315,5852,2015,06,06/2015,42156
2015-06,Q,B DIVISION,0.706501443,5891,2015,06,06/2015,42156
2015-06,R,B DIVISION,0.556177977,6248,2015,06,06/2015,42156
2015-06,S 42nd,A DIVISION,0.978554779,12870,2015,06,06/2015,42156
2015-06,S Fkln,B DIVISION,0.998844376,2596,2015,06,06/2015,42156
2015-06,S Rock,B DIVISION,0.960010808,3701,2015,06,06/2015,42156
2015-07,1,A DIVISION,0.734293194,9932,2015,07,07/2015,42186
2015-07,2,A DIVISION,0.413912541,6929,2015,07,07/2015,42186
2015-07,3,A DIVISION,0.656611822,6564,2015,07,07/2015,42186
2015-07,4,A DIVISION,0.427511133,8084,2015,07,07/2015,42186
2015-07,5,A DIVISION,0.386973721,7078,2015,07,07/2015,42186
2015-07,6,A DIVISION,0.499510124,12248,2015,07,07/2015,42186
2015-07,7,A DIVISION,0.838170301,13576,2015,07,07/2015,42186
2015-07,A,B DIVISION,0.648517258,8228,2015,07,07/2015,42186
2015-07,B,B DIVISION,0.757943513,4532,2015,07,07/2015,42186
2015-07,C,B DIVISION,0.774318182,4400,2015,07,07/2015,42186
2015-07,D,B DIVISION,0.728115345,5826,2015,07,07/2015,42186
2015-07,E,B DIVISION,0.685602576,8696,2015,07,07/2015,42186
2015-07,F,B DIVISION,0.570763723,8380,2015,07,07/2015,42186
2015-07,G,B DIVISION,0.644548994,6164,2015,07,07/2015,42186
2015-07,JZ,B DIVISION,0.742096506,6010,2015,07,07/2015,42186
2015-07,L,B DIVISION,0.904832438,10802,2015,07,07/2015,42186
2015-07,M,B DIVISION,0.698906357,5852,2015,07,07/2015,42186
2015-07,N,B DIVISION,0.679954991,6221,2015,07,07/2015,42186
2015-07,Q,B DIVISION,0.697216565,5892,2015,07,07/2015,42186
2015-07,R,B DIVISION,0.598591549,6248,2015,07,07/2015,42186
2015-07,S 42nd,A DIVISION,0.994484152,12872,2015,07,07/2015,42186
2015-07,S Fkln,B DIVISION,0.996533128,2596,2015,07,07/2015,42186
2015-07,S Rock,B DIVISION,0.952162162,3700,2015,07,07/2015,42186
2015-08,1,A DIVISION,0.799303577,9477,2015,08,08/2015,42217
2015-08,2,A DIVISION,0.405326802,6533,2015,08,08/2015,42217
2015-08,3,A DIVISION,0.641746609,6046,2015,08,08/2015,42217
2015-08,4,A DIVISION,0.444703747,7713,2015,08,08/2015,42217
2015-08,5,A DIVISION,0.347768449,6789,2015,08,08/2015,42217
2015-08,6,A DIVISION,0.560386887,11683,2015,08,08/2015,42217
2015-08,7,A DIVISION,0.881494634,12953,2015,08,08/2015,42217
2015-08,A,B DIVISION,0.675668657,7702,2015,08,08/2015,42217
2015-08,B,B DIVISION,0.7827092,4326,2015,08,08/2015,42217
2015-08,C,B DIVISION,0.845,4200,2015,08,08/2015,42217
2015-08,D,B DIVISION,0.746435101,5470,2015,08,08/2015,42217
2015-08,E,B DIVISION,0.716369335,8296,2015,08,08/2015,42217
2015-08,F,B DIVISION,0.576451451,7992,2015,08,08/2015,42217
2015-08,G,B DIVISION,0.669498726,5885,2015,08,08/2015,42217
2015-08,JZ,B DIVISION,0.770477518,5738,2015,08,08/2015,42217
2015-08,L,B DIVISION,0.930585683,10603,2015,08,08/2015,42217
2015-08,M,B DIVISION,0.690118153,5586,2015,08,08/2015,42217
2015-08,N,B DIVISION,0.668277837,5586,2015,08,08/2015,42217
2015-08,Q,B DIVISION,0.754935088,5623,2015,08,08/2015,42217
2015-08,R,B DIVISION,0.636820926,5964,2015,08,08/2015,42217
2015-08,S 42nd,A DIVISION,0.993848789,12843,2015,08,08/2015,42217
2015-08,S Fkln,B DIVISION,0.996368039,2478,2015,08,08/2015,42217
2015-08,S Rock,B DIVISION,0.956694028,3533,2015,08,08/2015,42217
2015-09,1,A DIVISION,0.786689239,9451,2015,09,09/2015,42248
2015-09,2,A DIVISION,0.453736382,6517,2015,09,09/2015,42248
2015-09,3,A DIVISION,0.665051579,6398,2015,09,09/2015,42248
2015-09,4,A DIVISION,0.43847619,7875,2015,09,09/2015,42248
2015-09,5,A DIVISION,0.381413075,6822,2015,09,09/2015,42248
2015-09,6,A DIVISION,0.450149254,11725,2015,09,09/2015,42248
2015-09,7,A DIVISION,0.814163388,12963,2015,09,09/2015,42248
2015-09,A,B DIVISION,0.621793275,8030,2015,09,09/2015,42248
2015-09,B,B DIVISION,0.812297735,4326,2015,09,09/2015,42248
2015-09,C,B DIVISION,0.729047619,4200,2015,09,09/2015,42248
2015-09,D,B DIVISION,0.741459907,5562,2015,09,09/2015,42248
2015-09,E,B DIVISION,0.649927746,8304,2015,09,09/2015,42248
2015-09,F,B DIVISION,0.567341329,8004,2015,09,09/2015,42248
2015-09,G,B DIVISION,0.675639747,6018,2015,09,09/2015,42248
2015-09,JZ,B DIVISION,0.701882845,5736,2015,09,09/2015,42248
2015-09,L,B DIVISION,0.947200301,10644,2015,09,09/2015,42248
2015-09,M,B DIVISION,0.740780523,5586,2015,09,09/2015,42248
2015-09,N,B DIVISION,0.665771572,5586,2015,09,09/2015,42248
2015-09,Q,B DIVISION,0.781333333,5625,2015,09,09/2015,42248
2015-09,R,B DIVISION,0.629610999,5964,2015,09,09/2015,42248
2015-09,S 42nd,A DIVISION,0.992352128,12291,2015,09,09/2015,42248
2015-09,S Fkln,B DIVISION,0.998789346,2478,2015,09,09/2015,42248
2015-09,S Rock,B DIVISION,0.963289698,3514,2015,09,09/2015,42248
2015-10,1,A DIVISION,0.724325413,9932,2015,10,10/2015,42278
2015-10,2,A DIVISION,0.4106408,6804,2015,10,10/2015,42278
2015-10,3,A DIVISION,0.616199284,6704,2015,10,10/2015,42278
2015-10,4,A DIVISION,0.412754114,8264,2015,10,10/2015,42278
2015-10,5,A DIVISION,0.360399662,7106,2015,10,10/2015,42278
2015-10,6,A DIVISION,0.376959504,12248,2015,10,10/2015,42278
2015-10,7,A DIVISION,0.860931055,13576,2015,10,10/2015,42278
2015-10,A,B DIVISION,0.625135168,8323,2015,10,10/2015,42278
2015-10,B,B DIVISION,0.80494263,4532,2015,10,10/2015,42278
2015-10,C,B DIVISION,0.737964237,4362,2015,10,10/2015,42278
2015-10,D,B DIVISION,0.733607964,5826,2015,10,10/2015,42278
2015-10,E,B DIVISION,0.638799448,8696,2015,10,10/2015,42278
2015-10,F,B DIVISION,0.536157518,8380,2015,10,10/2015,42278
2015-10,G,B DIVISION,0.653634004,6164,2015,10,10/2015,42278
2015-10,JZ,B DIVISION,0.660898502,6010,2015,10,10/2015,42278
2015-10,L,B DIVISION,0.899185336,10802,2015,10,10/2015,42278
2015-10,M,B DIVISION,0.690020506,5852,2015,10,10/2015,42278
2015-10,N,B DIVISION,0.670710868,5852,2015,10,10/2015,42278
2015-10,Q,B DIVISION,0.739477257,5892,2015,10,10/2015,42278
2015-10,R,B DIVISION,0.587387964,6248,2015,10,10/2015,42278
2015-10,S 42nd,A DIVISION,0.981511691,12873,2015,10,10/2015,42278
2015-10,S Fkln,B DIVISION,0.98844376,2596,2015,10,10/2015,42278
2015-10,S Rock,B DIVISION,0.963195202,3668,2015,10,10/2015,42278
2015-11,1,A DIVISION,0.753240997,9025,2015,11,11/2015,42309
2015-11,2,A DIVISION,0.416828479,6180,2015,11,11/2015,42309
2015-11,3,A DIVISION,0.657734057,5896,2015,11,11/2015,42309
2015-11,4,A DIVISION,0.427105544,7504,2015,11,11/2015,42309
2015-11,5,A DIVISION,0.38860662,6495,2015,11,11/2015,42309
2015-11,6,A DIVISION,0.444680099,11316,2015,11,11/2015,42309
2015-11,7,A DIVISION,0.826879639,12396,2015,11,11/2015,42309
2015-11,A,B DIVISION,0.670468432,7365,2015,11,11/2015,42309
2015-11,B,B DIVISION,0.642961165,4120,2015,11,11/2015,42309
2015-11,C,B DIVISION,0.752286585,3936,2015,11,11/2015,42309
2015-11,D,B DIVISION,0.710292729,5295,2015,11,11/2015,42309
2015-11,E,B DIVISION,0.709746835,7900,2015,11,11/2015,42309
2015-11,F,B DIVISION,0.551773982,7610,2015,11,11/2015,42309
2015-11,G,B DIVISION,0.708598726,5652,2015,11,11/2015,42309
2015-11,JZ,B DIVISION,0.663494968,5465,2015,11,11/2015,42309
2015-11,L,B DIVISION,0.923922823,10003,2015,11,11/2015,42309
2015-11,M,B DIVISION,0.678759398,5320,2015,11,11/2015,42309
2015-11,N,B DIVISION,0.544736842,5320,2015,11,11/2015,42309
2015-11,Q,B DIVISION,0.493744164,5355,2015,11,11/2015,42309
2015-11,R,B DIVISION,0.554577465,5680,2015,11,11/2015,42309
2015-11,S 42nd,A DIVISION,0.995190279,11851,2015,11,11/2015,42309
2015-11,S Fkln,B DIVISION,0.996186441,2360,2015,11,11/2015,42309
2015-11,S Rock,B DIVISION,0.97166114,3317,2015,11,11/2015,42309
2015-12,1,A DIVISION,0.763894482,9932,2015,12,12/2015,42339
2015-12,2,A DIVISION,0.424637681,6900,2015,12,12/2015,42339
2015-12,3,A DIVISION,0.643655589,6620,2015,12,12/2015,42339
2015-12,4,A DIVISION,0.444430739,8107,2015,12,12/2015,42339
2015-12,5,A DIVISION,0.381891968,7146,2015,12,12/2015,42339
2015-12,6,A DIVISION,0.485404972,12470,2015,12,12/2015,42339
2015-12,7,A DIVISION,0.810814771,13648,2015,12,12/2015,42339
2015-12,A,B DIVISION,0.701239157,8070,2015,12,12/2015,42339
2015-12,B,B DIVISION,0.753089144,4532,2015,12,12/2015,42339
2015-12,C,B DIVISION,0.747727273,4400,2015,12,12/2015,42339
2015-12,D,B DIVISION,0.726950355,5922,2015,12,12/2015,42339
2015-12,E,B DIVISION,0.684537506,8692,2015,12,12/2015,42339
2015-12,F,B DIVISION,0.569006686,8376,2015,12,12/2015,42339
2015-12,G,B DIVISION,0.786627335,6102,2015,12,12/2015,42339
2015-12,JZ,B DIVISION,0.657737105,6010,2015,12,12/2015,42339
2015-12,L,B DIVISION,0.91437774,11177,2015,12,12/2015,42339
2015-12,M,B DIVISION,0.690387228,5888,2015,12,12/2015,42339
2015-12,N,B DIVISION,0.647742818,5848,2015,12,12/2015,42339
2015-12,Q,B DIVISION,0.678377461,5892,2015,12,12/2015,42339
2015-12,R,B DIVISION,0.595870679,6248,2015,12,12/2015,42339
2015-12,S 42nd,A DIVISION,0.986416207,12883,2015,12,12/2015,42339
2015-12,S Fkln,B DIVISION,0.992681048,2596,2015,12,12/2015,42339
2015-12,S Rock,B DIVISION,0.96,3700,2015,12,12/2015,42339
2016-01,1,A DIVISION,0.771377935,9028,2016,01,01/2016,42370
2016-01,2,A DIVISION,0.413793103,6264,2016,01,01/2016,42370
2016-01,3,A DIVISION,0.637557452,6092,2016,01,01/2016,42370
2016-01,4,A DIVISION,0.401741971,7348,2016,01,01/2016,42370
2016-01,5,A DIVISION,0.378232759,6496,2016,01,01/2016,42370
2016-01,6,A DIVISION,0.454635286,11132,2016,01,01/2016,42370
2016-01,7,A DIVISION,0.780354267,12420,2016,01,01/2016,42370
2016-01,A,B DIVISION,0.659583053,7435,2016,01,01/2016,42370
2016-01,B,B DIVISION,0.692961165,4120,2016,01,01/2016,42370
2016-01,C,B DIVISION,0.78325,4000,2016,01,01/2016,42370
2016-01,D,B DIVISION,0.697829398,5252,2016,01,01/2016,42370
2016-01,E,B DIVISION,0.689240506,7900,2016,01,01/2016,42370
2016-01,F,B DIVISION,0.563321072,7612,2016,01,01/2016,42370
2016-01,G,B DIVISION,0.790892857,5600,2016,01,01/2016,42370
2016-01,JZ,B DIVISION,0.609786257,5661,2016,01,01/2016,42370
2016-01,L,B DIVISION,0.881980198,10100,2016,01,01/2016,42370
2016-01,M,B DIVISION,0.656716418,5360,2016,01,01/2016,42370
2016-01,N,B DIVISION,0.617059565,5557,2016,01,01/2016,42370
2016-01,Q,B DIVISION,0.65459298,5356,2016,01,01/2016,42370
2016-01,R,B DIVISION,0.611795775,5680,2016,01,01/2016,42370
2016-01,S 42nd,A DIVISION,0.990093091,11709,2016,01,01/2016,42370
2016-01,S Fkln,B DIVISION,0.999576271,2360,2016,01,01/2016,42370
2016-01,S Rock,B DIVISION,0.960760999,3364,2016,01,01/2016,42370
2016-02,1,A DIVISION,0.754847337,8974,2016,02,02/2016,42401
2016-02,2,A DIVISION,0.39958493,6264,2016,02,02/2016,42401
2016-02,3,A DIVISION,0.623186016,6064,2016,02,02/2016,42401
2016-02,4,A DIVISION,0.364316821,7348,2016,02,02/2016,42401
2016-02,5,A DIVISION,0.379002463,6496,2016,02,02/2016,42401
2016-02,6,A DIVISION,0.420168814,11255,2016,02,02/2016,42401
2016-02,7,A DIVISION,0.736151369,12420,2016,02,02/2016,42401
2016-02,A,B DIVISION,0.654187988,7426,2016,02,02/2016,42401
2016-02,B,B DIVISION,0.708009709,4120,2016,02,02/2016,42401
2016-02,C,B DIVISION,0.7695,4000,2016,02,02/2016,42401
2016-02,D,B DIVISION,0.655559787,5252,2016,02,02/2016,42401
2016-02,E,B DIVISION,0.680886076,7900,2016,02,02/2016,42401
2016-02,F,B DIVISION,0.594718865,7612,2016,02,02/2016,42401
2016-02,G,B DIVISION,0.8125,5600,2016,02,02/2016,42401
2016-02,JZ,B DIVISION,0.704259355,5799,2016,02,02/2016,42401
2016-02,L,B DIVISION,0.901584158,10100,2016,02,02/2016,42401
2016-02,M,B DIVISION,0.691231343,5360,2016,02,02/2016,42401
2016-02,N,B DIVISION,0.611550038,5316,2016,02,02/2016,42401
2016-02,Q,B DIVISION,0.716766243,5356,2016,02,02/2016,42401
2016-02,R,B DIVISION,0.597535211,5680,2016,02,02/2016,42401
2016-02,S 42nd,A DIVISION,0.997038012,12154,2016,02,02/2016,42401
2016-02,S Fkln,B DIVISION,0.998305085,2360,2016,02,02/2016,42401
2016-02,S Rock,B DIVISION,0.97235434,3364,2016,02,02/2016,42401
2016-03,1,A DIVISION,0.677645277,10566,2016,03,03/2016,42430
2016-03,2,A DIVISION,0.409004093,7330,2016,03,03/2016,42430
2016-03,3,A DIVISION,0.631337726,6982,2016,03,03/2016,42430
2016-03,4,A DIVISION,0.410790345,8452,2016,03,03/2016,42430
2016-03,5,A DIVISION,0.367554544,7471,2016,03,03/2016,42430
2016-03,6,A DIVISION,0.510669553,12934,2016,03,03/2016,42430
2016-03,7,A DIVISION,0.75621682,14316,2016,03,03/2016,42430
2016-03,A,B DIVISION,0.651060804,8437,2016,03,03/2016,42430
2016-03,B,B DIVISION,0.751806205,4706,2016,03,03/2016,42430
2016-03,C,B DIVISION,0.707391304,4600,2016,03,03/2016,42430
2016-03,D,B DIVISION,0.688406928,6409,2016,03,03/2016,42430
2016-03,E,B DIVISION,0.699053697,9088,2016,03,03/2016,42430
2016-03,F,B DIVISION,0.62628454,8758,2016,03,03/2016,42430
2016-03,G,B DIVISION,0.770496894,6440,2016,03,03/2016,42430
2016-03,JZ,B DIVISION,0.654382939,6377,2016,03,03/2016,42430
2016-03,L,B DIVISION,0.895221696,11615,2016,03,03/2016,42430
2016-03,M,B DIVISION,0.676346528,6164,2016,03,03/2016,42430
2016-03,N,B DIVISION,0.661658942,6257,2016,03,03/2016,42430
2016-03,Q,B DIVISION,0.721428571,6160,2016,03,03/2016,42430
2016-03,R,B DIVISION,0.618187385,6532,2016,03,03/2016,42430
2016-03,S 42nd,A DIVISION,0.996968128,13523,2016,03,03/2016,42430
2016-03,S Fkln,B DIVISION,0.994473102,2714,2016,03,03/2016,42430
2016-03,S Rock,B DIVISION,0.943064182,1932,2016,03,03/2016,42430
2016-04,1,A DIVISION,0.722819347,9676,2016,04,04/2016,42461
2016-04,2,A DIVISION,0.387766796,6981,2016,04,04/2016,42461
2016-04,3,A DIVISION,0.615001556,6426,2016,04,04/2016,42461
2016-04,4,A DIVISION,0.399300156,7716,2016,04,04/2016,42461
2016-04,5,A DIVISION,0.384853396,6787,2016,04,04/2016,42461
2016-04,6,A DIVISION,0.527887083,11690,2016,04,04/2016,42461
2016-04,7,A DIVISION,0.753567885,13103,2016,04,04/2016,42461
2016-04,A,B DIVISION,0.636115799,7703,2016,04,04/2016,42461
2016-04,B,B DIVISION,0.717059639,4326,2016,04,04/2016,42461
2016-04,C,B DIVISION,0.705,4200,2016,04,04/2016,42461
2016-04,D,B DIVISION,0.704616453,5762,2016,04,04/2016,42461
2016-04,E,B DIVISION,0.699734812,8296,2016,04,04/2016,42461
2016-04,F,B DIVISION,0.628557349,8117,2016,04,04/2016,42461
2016-04,G,B DIVISION,0.82182959,6056,2016,04,04/2016,42461
2016-04,JZ,B DIVISION,0.663935855,5737,2016,04,04/2016,42461
2016-04,L,B DIVISION,0.926732673,10605,2016,04,04/2016,42461
2016-04,M,B DIVISION,0.727789623,5628,2016,04,04/2016,42461
2016-04,N,B DIVISION,0.687388033,5582,2016,04,04/2016,42461
2016-04,Q,B DIVISION,0.79071835,5624,2016,04,04/2016,42461
2016-04,R,B DIVISION,0.628269618,5964,2016,04,04/2016,42461
2016-04,S 42nd,A DIVISION,0.98607443,12495,2016,04,04/2016,42461
2016-04,S Fkln,B DIVISION,0.999192897,2478,2016,04,04/2016,42461
2016-04,S Rock,B DIVISION,0.919501134,1764,2016,04,04/2016,42461
2016-05,1,A DIVISION,0.77035865,9480,2016,05,05/2016,42491
2016-05,2,A DIVISION,0.337488598,6578,2016,05,05/2016,42491
2016-05,3,A DIVISION,0.577680525,6398,2016,05,05/2016,42491
2016-05,4,A DIVISION,0.381026439,7716,2016,05,05/2016,42491
2016-05,5,A DIVISION,0.349350843,6701,2016,05,05/2016,42491
2016-05,6,A DIVISION,0.536013687,11690,2016,05,05/2016,42491
2016-05,7,A DIVISION,0.749808312,13042,2016,05,05/2016,42491
2016-05,A,B DIVISION,0.641957679,7703,2016,05,05/2016,42491
2016-05,B,B DIVISION,0.762135922,4326,2016,05,05/2016,42491
2016-05,C,B DIVISION,0.736904762,4200,2016,05,05/2016,42491
2016-05,D,B DIVISION,0.704079782,5515,2016,05,05/2016,42491
2016-05,E,B DIVISION,0.705882353,8296,2016,05,05/2016,42491
